Entity,Code,Year,Urban population (% of total population)
Afghanistan,AFG,2019,25.754
Albania,ALB,2019,61.229
Algeria,DZA,2019,73.189
American Samoa,ASM,2019,87.147
Andorra,AND,2019,87.984
Angola,AGO,2019,66.177
Antigua and Barbuda,ATG,2019,24.506
Argentina,ARG,2019,91.991
Armenia,ARM,2019,63.219
Aruba,ABW,2019,43.546
Australia,AUS,2019,86.124
Austria,AUT,2019,58.515
Azerbaijan,AZE,2019,56.031
Bahamas,BHS,2019,83.132
Bahrain,BHR,2019,89.394
Bangladesh,BGD,2019,37.405
Barbados,BRB,2019,31.158
Belarus,BLR,2019,79.044
Belgium,BEL,2019,98.041
Belize,BLZ,2019,45.866
Benin,BEN,2019,47.861
Bermuda,BMU,2019,100.0
Bhutan,BTN,2019,41.612
Bolivia,BOL,2019,69.773
Bosnia and Herzegovina,BIH,2019,48.626
Botswana,BWA,2019,70.172
Brazil,BRA,2019,86.824
British Virgin Islands,VGB,2019,48.116
Brunei,BRN,2019,77.942
Bulgaria,BGR,2019,75.347
Burkina Faso,BFA,2019,29.98
Burundi,BDI,2019,13.366
Cambodia,KHM,2019,23.805
Cameroon,CMR,2019,56.968
Canada,CAN,2019,81.482
Cape Verde,CPV,2019,66.195
Cayman Islands,CYM,2019,100.0
Central African Republic,CAF,2019,41.77
Chad,TCD,2019,23.279
Channel Islands,OWID_CIS,2019,30.931
Chile,CHL,2019,87.643
China,CHN,2019,60.308
Colombia,COL,2019,81.104
Comoros,COM,2019,29.164
Congo,COG,2019,67.373
Costa Rica,CRI,2019,80.076
Cote d'Ivoire,CIV,2019,51.239
Croatia,HRV,2019,57.242
Cuba,CUB,2019,77.109
Curacao,CUW,2019,89.098
Cyprus,CYP,2019,66.805
Czechia,CZE,2019,73.921
Democratic Republic of Congo,COD,2019,45.046
Denmark,DNK,2019,87.994
Djibouti,DJI,2019,77.915
Dominica,DMA,2019,70.786
Dominican Republic,DOM,2019,81.828
East Asia and Pacific (WB),,2019,59.87256
East Timor,TLS,2019,30.947
Ecuador,ECU,2019,63.986
Egypt,EGY,2019,42.73
El Salvador,SLV,2019,72.746
Equatorial Guinea,GNQ,2019,72.627
Eritrea,ERI,2019,40.712
Estonia,EST,2019,69.051
Eswatini,SWZ,2019,23.981
Ethiopia,ETH,2019,21.225
Europe and Central Asia (WB),,2019,72.383095
European Union (27),,2019,74.74209
Faeroe Islands,,2019,42.225
Fiji,FJI,2019,56.75
Finland,FIN,2019,85.446
France,FRA,2019,80.709
French Polynesia,PYF,2019,61.897
Gabon,GAB,2019,89.741
Gambia,GMB,2019,61.931
Georgia,GEO,2019,59.039
Germany,DEU,2019,77.376
Ghana,GHA,2019,56.707
Gibraltar,GIB,2019,100.0
Greece,GRC,2019,79.388
Greenland,GRL,2019,87.052
Grenada,GRD,2019,36.396
Guam,GUM,2019,94.859
Guatemala,GTM,2019,51.439
Guinea,GIN,2019,36.5
Guinea-Bissau,GNB,2019,43.777
Guyana,GUY,2019,26.689
Haiti,HTI,2019,56.192
High-income countries,,2019,80.34307
Honduras,HND,2019,57.73
Hong Kong,HKG,2019,100.0
Hungary,HUN,2019,71.644
Iceland,ISL,2019,93.855
India,IND,2019,34.472
Indonesia,IDN,2019,55.985
Iran,IRN,2019,75.391
Iraq,IRQ,2019,70.678
Ireland,IRL,2019,63.405
Isle of Man,IMN,2019,52.735
Israel,ISR,2019,92.501
Italy,ITA,2019,70.736
Jamaica,JAM,2019,55.985
Japan,JPN,2019,91.698
Jordan,JOR,2019,91.203
Kazakhstan,KAZ,2019,57.54
Kenya,KEN,2019,27.507
Kiribati,KIR,2019,54.835
Kuwait,KWT,2019,100.0
Kyrgyzstan,KGZ,2019,36.591
Laos,LAO,2019,35.645
Latin America and Caribbean (WB),,2019,80.8467
Latvia,LVA,2019,68.222
Lebanon,LBN,2019,88.758
Lesotho,LSO,2019,28.585
Liberia,LBR,2019,51.615
Libya,LBY,2019,80.393
Liechtenstein,LIE,2019,14.371
Lithuania,LTU,2019,67.855
Low-income countries,,2019,33.2014
Lower-middle-income countries,,2019,38.940666
Luxembourg,LUX,2019,91.223
Macao,MAC,2019,100.0
Madagascar,MDG,2019,37.861
Malawi,MWI,2019,17.174
Malaysia,MYS,2019,76.607
Maldives,MDV,2019,40.238
Mali,MLI,2019,43.136
Malta,MLT,2019,94.678
Marshall Islands,MHL,2019,77.417
Mauritania,MRT,2019,54.507
Mauritius,MUS,2019,40.766
Mexico,MEX,2019,80.444
Micronesia (country),FSM,2019,22.812
Middle East and North Africa (WB),,2019,64.80082
Middle-income countries,,2019,51.926403
Moldova,MDA,2019,42.726
Monaco,MCO,2019,100.0
Mongolia,MNG,2019,68.543
Montenegro,MNE,2019,67.15
Morocco,MAR,2019,62.994
Mozambique,MOZ,2019,36.528
Myanmar,MMR,2019,30.852
Namibia,NAM,2019,51.042
Nauru,NRU,2019,100.0
Nepal,NPL,2019,20.153
Netherlands,NLD,2019,91.876
New Caledonia,NCL,2019,71.104
New Zealand,NZL,2019,86.615
Nicaragua,NIC,2019,58.76
Niger,NER,2019,16.517
Nigeria,NGA,2019,51.157
North America (WB),,2019,82.36166
North Korea,PRK,2019,62.134
North Macedonia,MKD,2019,58.208
Northern Mariana Islands,MNP,2019,91.708
Norway,NOR,2019,82.616
Oman,OMN,2019,85.443
Pakistan,PAK,2019,36.907
Palau,PLW,2019,80.47
Palestine,PSE,2019,76.44
Panama,PAN,2019,68.059
Papua New Guinea,PNG,2019,13.25
Paraguay,PRY,2019,61.879
Peru,PER,2019,78.099
Philippines,PHL,2019,47.149
Poland,POL,2019,60.037
Portugal,PRT,2019,65.764
Puerto Rico,PRI,2019,93.576
Qatar,QAT,2019,99.188
Romania,ROU,2019,54.084
Russia,RUS,2019,74.587
Rwanda,RWA,2019,17.313
Saint Kitts and Nevis,KNA,2019,30.799
Saint Lucia,LCA,2019,18.754
Saint Vincent and the Grenadines,VCT,2019,52.614
Samoa,WSM,2019,18.056
San Marino,SMR,2019,97.368
Sao Tome and Principe,STP,2019,73.598
Saudi Arabia,SAU,2019,84.065
Senegal,SEN,2019,47.653
Serbia,SRB,2019,56.26
Seychelles,SYC,2019,57.119
Sierra Leone,SLE,2019,42.484
Singapore,SGP,2019,100.0
Sint Maarten (Dutch part),SXM,2019,100.0
Slovakia,SVK,2019,53.729
Slovenia,SVN,2019,54.822
Solomon Islands,SLB,2019,24.21
Somalia,SOM,2019,45.554
South Africa,ZAF,2019,66.856
South Asia (WB),,2019,34.45636
South Korea,KOR,2019,81.43
South Sudan,SSD,2019,19.899
Spain,ESP,2019,80.565
Sri Lanka,LKA,2019,18.585
Sub-Saharan Africa (WB),,2019,40.832954
Sudan,SDN,2019,34.936
Suriname,SUR,2019,66.095
Sweden,SWE,2019,87.708
Switzerland,CHE,2019,73.849
Syria,SYR,2019,54.821
Tajikistan,TJK,2019,27.309
Tanzania,TZA,2019,34.5
Thailand,THA,2019,50.692
Togo,TGO,2019,42.248
Tonga,TON,2019,23.107
Trinidad and Tobago,TTO,2019,53.187
Tunisia,TUN,2019,69.254
Turkey,TUR,2019,75.63
Turkmenistan,TKM,2019,52.048
Turks and Caicos Islands,TCA,2019,93.36
Tuvalu,TUV,2019,63.215
Uganda,UGA,2019,24.361
Ukraine,UKR,2019,69.473
United Arab Emirates,ARE,2019,86.789
United Kingdom,GBR,2019,83.652
United States,USA,2019,82.459
United States Virgin Islands,VIR,2019,95.832
Upper-middle-income countries,,2019,65.62009
Uruguay,URY,2019,95.426
Uzbekistan,UZB,2019,50.433
Vanuatu,VUT,2019,25.394
Venezuela,VEN,2019,88.24
Vietnam,VNM,2019,36.628
World,OWID_WRL,2019,55.52621
Yemen,YEM,2019,37.273
Zambia,ZMB,2019,44.072
Zimbabwe,ZWE,2019,32.21
