Entity,Code,Year,Share of Pop in Extreme Poverty
Albania,ALB,2019,0.0
Argentina (urban),,2019,1.1097425
Armenia,ARM,2019,1.0300698
Austria,AUT,2019,0.6406389
Belarus,BLR,2019,0.0
Belgium,BEL,2019,0.07855247
Bolivia,BOL,2019,1.9205352
Brazil,BRA,2019,5.4092226
Bulgaria,BGR,2019,0.9236337
Canada,CAN,2019,0.24863754
China,CHN,2019,0.0
China (rural),,2019,0.0
China (urban),,2019,0.0
Colombia,COL,2019,5.2847376
Costa Rica,CRI,2019,1.0571395
Croatia,HRV,2019,0.25992584
Cyprus,CYP,2019,0.1538318
Czechia,CZE,2019,0.0
Denmark,DNK,2019,0.25140718
Dominican Republic,DOM,2019,0.83268654
East Asia and Pacific (PIP),,2019,0.97820175
Eastern and Southern Africa (PIP),,2019,43.057068
Ecuador,ECU,2019,3.5835843
Egypt,EGY,2019,1.4670148
El Salvador,SLV,2019,1.4019152
Estonia,EST,2019,0.5569404
Europe and Central Asia (PIP),,2019,0.45799664
Fiji,FJI,2019,1.3182689
Finland,FIN,2019,0.03882923
France,FRA,2019,0.051448993
Georgia,GEO,2019,4.8486285
Germany,DEU,2019,0.24957946
Greece,GRC,2019,0.6895518
Honduras,HND,2019,12.742991
Hungary,HUN,2019,0.30170247
India,IND,2019,13.204494
India (rural),,2019,14.215045
India (urban),,2019,11.231797
Indonesia,IDN,2019,3.3554103
Iran,IRN,2019,0.72633666
Ireland,IRL,2019,0.058011558
Israel,ISR,2019,0.725289
Italy,ITA,2019,0.9943459
Kazakhstan,KAZ,2019,0.016059816
Kiribati,KIR,2019,1.6780767
Kyrgyzstan,KGZ,2019,0.65906364
Latin America and the Caribbean (PIP),,2019,4.212441
Latvia,LVA,2019,0.2391008
Lithuania,LTU,2019,0.54792964
Luxembourg,LUX,2019,0.101187475
Malawi,MWI,2019,70.0606
Maldives,MDV,2019,0.0
Malta,MLT,2019,0.30468178
Marshall Islands,MHL,2019,0.85434437
Mauritania,MRT,2019,5.354673
Middle East and North Africa (PIP),,2019,4.555744
Moldova,MDA,2019,0.02864514
Montenegro,MNE,2019,1.9976742
Mozambique,MOZ,2019,74.52835
Netherlands,NLD,2019,0.0957287
North Macedonia,MKD,2019,2.6633506
Norway,NOR,2019,0.15653396
Other high income countries (PIP),,2019,0.6024741
Panama,PAN,2019,1.0040996
Paraguay,PRY,2019,1.0115106
Peru,PER,2019,2.9770849
Poland,POL,2019,0.06276072
Portugal,PRT,2019,0.14872062
Romania,ROU,2019,2.1640766
Russia,RUS,2019,0.030398078
Serbia,SRB,2019,2.3344426
Slovakia,SVK,2019,0.11811627
Slovenia,SVN,2019,0.0
South Asia (PIP),,2019,10.596655
South Korea,KOR,2019,0.0
Spain,ESP,2019,0.79381347
Sri Lanka,LKA,2019,0.95861256
Sub-Saharan Africa (PIP),,2019,36.659363
Sweden,SWE,2019,0.3165186
Switzerland,CHE,2019,0.017386846
Taiwan,TWN,2019,0.0
Thailand,THA,2019,0.0950376
Turkey,TUR,2019,0.45154127
Uganda,UGA,2019,42.11563
Ukraine,UKR,2019,0.0
United Kingdom,GBR,2019,0.49803847
United States,USA,2019,0.99917054
Uruguay,URY,2019,0.102072
Vanuatu,VUT,2019,9.963333
Western and Central Africa (PIP),,2019,27.263
World,OWID_WRL,2019,8.83045
World (excluding China),,2019,10.793028
World (excluding India),,2019,8.106052
Zimbabwe,ZWE,2019,39.75453
